SexN;AgeN;MS;LogitH;LogitB;TA;TH;WL;BH;HT;DS;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T33;T34;T35;T36;T37;T38;T39;T40
2;4;625;-0,177267752;-5,27014649;94;116;266;5,900000095;0,111111111;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;6;5;0;0
1;4;677;-0,034571344;-4,958903307;99;126,4000015;269;4,900000095;0,109722222;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;675;-0,090865728;-5,416334294;98;120,5999985;265;4,199999809;0,108333333;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5
1;4;680;-0,126351714;-5,611374746;98;124;276;4;0,10625;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;634;-0,355763117;-5,302098089;95;117,5999985;264;3,900000095;0,104861111;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;546;-0,089931087;-5,287960893;95;117,6999969;264;3,599999905;0,057638889;130;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;653;-0,160830025;-5,002853154;96;121,4000015;264;4,800000191;0,101388889;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;658;-0,055962775;-5,417876602;96;122;270;4;0,134722222;111;0;0;0;0;0;5;5;0;10;0;0;0;0;0;0;0;0;0
1;2;683;-0,168105165;-5,893637312;98;128,1999969;271;4;0,088194444;111;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0
1;4;690;-0,151425882;-4,9698133;102;126,4000015;266;3,299999952;0,075694444;111;0;0;0;0;0;5;0;5;0;5;0;5;0;0;0;5;3;5
2;4;562;-0,250410678;-5,938001718;92;113,9000015;261;5,300000191;0,078472222;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;613;-0,227509448;-4,994852483;97;120;273;5,900000095;0,08125;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;2;643;-0,228280248;-5,426993241;103;127,6999969;275;3,599999905;0,083333333;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;569;-0,247738206;-5,238213443;94;109,4000015;266;6,099999905;0,084722222;111;0;0;0;0;0;5;5;0;0;5;0;0;0;0;0;0;0;0
1;4;585;-0,229445932;-5,114051062;103;122,3000031;265;3,900000095;0,1;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;651;-0,260156615;-5,156990097;101;118,8000031;272;5,599999905;0,086805556;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;596;-0,322468189;-5,086458586;95;116,1999969;263;5,400000095;0,097916667;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;636;-0,345205917;-5,311745325;97;110,1999969;266;5,900000095;0,089583333;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;2;615;-0,203704494;-5,036197258;98;124,6999969;267;3,799999952;0,090972222;111;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0
