"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"eta1[298]",2.3,2.28,0.6,1.14,3.57
"eta1[299]",-0.51,-0.53,0.26,-0.97,0.05
"eta1[300]",2.13,2.1,0.6,0.97,3.41
"eta1[301]",1.13,1.1,0.61,-0.07,2.42
"eta1[302]",-0.26,-0.26,0.21,-0.7,0.16
"eta1[303]",2.23,2.2,0.5,1.25,3.27
"eta1[304]",0.76,0.74,0.53,-0.28,1.91
"eta1[305]",0.86,0.82,0.5,-0.02,1.94
"eta1[306]",-0.45,-0.45,0.13,-0.73,-0.2
"eta1[307]",2.11,2.11,0.05,2.02,2.23
"eta1[308]",0.77,0.78,0.24,0.25,1.19
"eta1[309]",1.63,1.62,0.35,0.93,2.37
"eta1[310]",1.45,1.45,0.18,1.09,1.84
"eta1[311]",2.37,2.35,0.39,1.62,3.2
"eta1[312]",1.27,1.24,0.62,0.04,2.58
"eta1[313]",-0.01,-0.01,0.02,-0.05,0.03
"eta1[314]",0.79,0.78,0.51,-0.21,1.85
"eta1[315]",1.52,1.51,0.17,1.23,1.88
"eta1[316]",-0.93,-0.9,0.29,-1.56,-0.42
"eta1[317]",-0.45,-0.44,0.39,-1.28,0.33
"eta1[318]",1.08,1.08,0.21,0.68,1.51
"eta1[319]",-1,-0.95,0.62,-2.31,0.13
"eta1[320]",-0.75,-0.75,0.18,-1.13,-0.4
"eta1[321]",0.08,0.08,0.08,-0.07,0.24
"eta1[322]",0.94,0.95,0.22,0.48,1.37
"eta1[323]",1.4,1.43,0.39,0.55,2.09
"eta1[324]",2.14,2.12,0.39,1.39,2.97
"eta1[325]",-0.05,-0.05,0.15,-0.39,0.23
"eta1[326]",1.13,1.13,0.19,0.77,1.51
"eta1[327]",0.34,0.31,0.54,-0.72,1.47
"eta1[328]",0.9,0.87,0.76,-0.58,2.5
"eta1[329]",-0.36,-0.35,0.28,-0.96,0.18
"eta1[330]",1.02,1,0.55,-0.03,2.19
"eta1[331]",0,-0.03,0.5,-1,1.05
"eta1[332]",-2.25,-2.23,0.28,-2.87,-1.75
"eta1[333]",1.7,1.71,0.35,0.96,2.37
"eta1[334]",-0.64,-0.65,0.16,-0.95,-0.3
"eta1[335]",-0.84,-0.84,0.13,-1.1,-0.57
"eta1[336]",-0.32,-0.33,0.23,-0.77,0.17
"eta1[337]",-1.74,-1.72,0.55,-2.9,-0.66
"eta1[338]",-1.41,-1.42,0.31,-2.01,-0.76
"eta1[339]",0.45,0.42,0.38,-0.22,1.27
"eta1[340]",-1.69,-1.7,0.14,-1.94,-1.39
"eta1[341]",0.71,0.72,0.18,0.32,1.06
"eta1[342]",0.58,0.61,0.39,-0.24,1.33
"eta1[343]",0.33,0.34,0.1,0.11,0.51
"eta1[344]",-0.67,-0.69,0.37,-1.37,0.11
"eta1[345]",-0.31,-0.35,0.43,-1.06,0.61
"eta1[346]",0.99,1,0.11,0.75,1.22
"eta1[347]",1.03,1,0.42,0.27,1.92
"eta1[348]",-2.73,-2.68,0.99,-4.83,-0.85
"eta1[349]",-0.71,-0.7,0.31,-1.38,-0.09
"eta1[350]",0.66,0.65,0.18,0.31,1.05
"eta1[351]",0.48,0.5,0.27,-0.1,0.96
"eta1[352]",0.01,0,0.2,-0.34,0.44
"eta1[353]",-1.04,-1.04,0.09,-1.2,-0.84
"eta1[354]",-0.57,-0.57,0.06,-0.69,-0.47
"eta1[355]",-0.97,-0.98,0.16,-1.28,-0.63
"eta1[356]",-0.88,-0.87,0.33,-1.57,-0.22
"eta1[357]",-2.23,-2.22,0.24,-2.73,-1.77
"eta1[358]",-0.3,-0.32,0.28,-0.78,0.3
"eta1[359]",0.03,0,0.4,-0.7,0.88
"eta1[360]",-0.28,-0.28,0.07,-0.43,-0.16
"eta1[361]",-0.36,-0.37,0.13,-0.59,-0.09
"eta1[362]",-0.42,-0.43,0.25,-0.92,0.11
"eta1[363]",0.31,0.29,0.37,-0.42,1.09
"eta1[364]",-2.03,-2.03,0.04,-2.13,-1.96
"eta1[365]",-0.7,-0.69,0.27,-1.26,-0.17
"eta1[366]",-1.12,-1.1,0.31,-1.78,-0.52
"eta1[367]",0.09,0.07,0.65,-1.19,1.45
"eta1[368]",-0.17,-0.18,0.13,-0.4,0.12
"eta1[369]",0.13,0.12,0.46,-0.74,1.1
"eta1[370]",-0.72,-0.75,0.49,-1.65,0.33
"eta1[371]",1.94,1.92,0.68,0.6,3.37
"eta1[372]",0.57,0.53,0.45,-0.21,1.53
"eta1[373]",2.76,2.75,0.04,2.69,2.83
"eta1[374]",0.97,0.99,0.48,-0.05,1.91
"eta1[375]",-0.57,-0.59,0.41,-1.32,0.31
"eta1[376]",-1.31,-1.3,0.23,-1.8,-0.86
"eta1[377]",0.64,0.64,0.09,0.47,0.83
"eta1[378]",-0.27,-0.29,0.33,-0.86,0.45
"eta1[379]",0.75,0.73,0.24,0.29,1.26
"eta1[380]",-0.35,-0.36,0.2,-0.74,0.05
"eta1[381]",-0.47,-0.48,0.12,-0.7,-0.22
"eta1[382]",1.31,1.28,0.71,-0.07,2.82
"eta1[383]",-0.32,-0.31,0.16,-0.67,-0.03
"eta1[384]",1.24,1.22,0.4,0.54,2.12
"eta1[385]",1.93,1.92,0.47,1.02,2.93
"eta1[386]",0.73,0.7,0.39,0.03,1.58
"eta1[387]",-1,-1.01,0.25,-1.5,-0.48
"eta1[388]",0.38,0.38,0.22,-0.07,0.85
"eta1[389]",0.63,0.6,0.48,-0.22,1.68
"eta1[390]",-0.52,-0.52,0.18,-0.92,-0.2
"eta1[391]",1.74,1.73,0.17,1.41,2.09
"eta1[392]",-0.63,-0.64,0.21,-1.03,-0.18
"eta1[393]",1.85,1.82,0.46,0.98,2.82
"eta1[394]",-0.48,-0.47,0.15,-0.8,-0.17
"eta1[395]",-0.66,-0.66,0.06,-0.77,-0.52
"eta1[396]",1.08,1.05,0.45,0.24,2.04
"eta1[397]",0.79,0.78,0.23,0.38,1.3
"eta1[398]",-0.28,-0.3,0.52,-1.26,0.82
"eta1[399]",-0.08,-0.1,0.27,-0.56,0.51
"eta1[400]",0.08,0.07,0.32,-0.54,0.77
"eta1[401]",1.27,1.26,0.2,0.92,1.7
"eta1[402]",0.24,0.24,0.15,-0.05,0.56
"eta1[403]",2.24,2.2,0.59,1.14,3.5
"eta1[404]",2.83,2.79,0.45,2.03,3.78
"eta1[405]",0.53,0.52,0.13,0.29,0.82
"eta1[406]",-3.14,-3.16,0.22,-3.57,-2.66
"eta1[407]",-0.74,-0.77,0.35,-1.36,0.03
"eta1[408]",0.45,0.43,0.34,-0.15,1.19
"eta1[409]",1.13,1.12,0.32,0.5,1.8
"eta1[410]",0.81,0.81,0.14,0.53,1.11
"eta1[411]",-0.05,-0.1,0.64,-1.21,1.31
"eta1[412]",2.53,2.52,0.4,1.77,3.38
"eta1[413]",1.32,1.31,0.26,0.86,1.9
"eta1[414]",-2.04,-2.03,0.4,-2.89,-1.24
"eta1[415]",1.92,1.88,0.72,0.56,3.45
"eta1[416]",0.6,0.59,0.29,0.1,1.25
"eta1[417]",1,0.97,0.39,0.32,1.84
"eta1[418]",0.05,0.02,0.38,-0.61,0.86
"eta1[419]",1.1,1.06,0.58,0.06,2.38
"eta1[420]",-1.39,-1.4,0.17,-1.7,-1.01
"eta1[421]",1.07,1.06,0.22,0.64,1.55
"eta1[422]",0.38,0.38,0.08,0.22,0.54
"eta1[423]",1.62,1.61,0.48,0.67,2.64
"eta1[424]",1.69,1.67,0.43,0.86,2.6
"eta1[425]",-0.22,-0.24,0.22,-0.64,0.25
"eta1[426]",0.99,0.97,0.36,0.32,1.75
"eta1[427]",0.46,0.42,0.43,-0.3,1.39
"eta1[428]",-1.38,-1.38,0.13,-1.64,-1.11
"eta1[429]",0.35,0.34,0.34,-0.32,1.06
"eta1[430]",-0.08,-0.07,0.17,-0.45,0.24
"eta1[431]",-0.88,-0.9,0.52,-1.9,0.21
"eta1[432]",2.85,2.85,0.06,2.73,2.99
"eta1[433]",-1.82,-1.79,0.35,-2.56,-1.18
"eta1[434]",0.28,0.24,0.62,-0.92,1.6
"eta1[435]",-0.44,-0.47,0.36,-1.08,0.34
"eta1[436]",-0.14,-0.15,0.37,-0.87,0.65
"eta1[437]",-0.65,-0.64,0.16,-1,-0.34
"eta1[438]",-1.15,-1.12,0.91,-3.08,0.6
"eta1[439]",0.67,0.65,0.52,-0.32,1.78
"eta1[440]",1.66,1.61,0.86,0.04,3.5
"eta1[441]",-0.28,-0.29,0.28,-0.83,0.32
"eta1[442]",-0.99,-1.01,0.32,-1.55,-0.29
"eta1[443]",-0.05,-0.1,0.59,-1.09,1.23
"eta1[444]",-0.62,-0.62,0.09,-0.78,-0.43
"eta1[445]",-1.21,-1.22,0.19,-1.55,-0.79
"eta1[446]",1.36,1.32,0.56,0.37,2.59
"eta1[447]",-2.87,-2.85,0.38,-3.67,-2.14
"eta1[448]",-0.65,-0.66,0.16,-0.95,-0.28
"eta1[449]",-2.06,-2.05,0.39,-2.88,-1.32
"eta1[450]",-0.48,-0.48,0.54,-1.62,0.59
"eta1[451]",-0.95,-0.97,0.35,-1.56,-0.17
"eta1[452]",-1.42,-1.44,0.37,-2.07,-0.62
"eta1[453]",1.37,1.33,0.63,0.23,2.7
"eta1[454]",-1.17,-1.19,0.5,-2.13,-0.1
"eta1[455]",-1.13,-1.12,0.22,-1.58,-0.7
"eta1[456]",-0.35,-0.35,0.17,-0.67,0
"eta1[457]",-0.03,-0.01,0.51,-1.1,0.97
"eta1[458]",-0.1,-0.17,0.8,-1.5,1.61
"eta1[459]",-2.16,-2.13,0.75,-3.74,-0.68
"eta1[460]",-2.52,-2.49,0.7,-4,-1.17
"eta1[461]",-0.93,-0.95,0.4,-1.72,-0.1
"eta1[462]",-0.34,-0.33,0.34,-1.06,0.32
