"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"mu1[202]",0.67,0.67,0.07,0.53,0.81
"mu1[203]",0.33,0.33,0.06,0.22,0.44
"mu1[204]",0.2,0.19,0.05,0.1,0.3
"mu1[205]",-0.13,-0.13,0.08,-0.28,0.03
"mu1[206]",0.55,0.55,0.06,0.43,0.67
"mu1[207]",-0.07,-0.07,0.07,-0.21,0.06
"mu1[208]",-0.44,-0.44,0.07,-0.57,-0.3
"mu1[209]",0.09,0.09,0.03,0.03,0.15
"mu1[210]",0.57,0.57,0.05,0.49,0.66
"mu1[211]",0.21,0.21,0.05,0.1,0.31
"mu1[212]",0.28,0.28,0.05,0.18,0.38
"mu1[213]",-0.04,-0.04,0.05,-0.14,0.05
"mu1[214]",0.54,0.54,0.06,0.43,0.65
"mu1[215]",-0.15,-0.15,0.03,-0.21,-0.09
"mu1[216]",-0.1,-0.1,0.04,-0.17,-0.02
"mu1[217]",0.14,0.14,0.05,0.05,0.24
"mu1[218]",0.08,0.08,0.05,-0.02,0.18
"mu1[219]",0.9,0.9,0.05,0.8,1
"mu1[220]",0.09,0.09,0.04,0.01,0.17
"mu1[221]",-0.51,-0.51,0.05,-0.61,-0.42
"mu1[222]",-0.03,-0.03,0.04,-0.1,0.04
"mu1[223]",-0.17,-0.16,0.03,-0.23,-0.1
"mu1[224]",0.08,0.08,0.04,0,0.17
"mu1[225]",-0.18,-0.18,0.05,-0.28,-0.07
"mu1[226]",0.13,0.13,0.04,0.04,0.21
"mu1[227]",0.85,0.85,0.06,0.73,0.95
"mu1[228]",-0.51,-0.51,0.05,-0.61,-0.41
"mu1[229]",0.05,0.05,0.04,-0.04,0.13
"mu1[230]",0.91,0.91,0.06,0.8,1.02
"mu1[231]",0.45,0.45,0.04,0.36,0.54
"mu1[232]",0.16,0.16,0.05,0.06,0.25
"mu1[233]",-0.78,-0.78,0.06,-0.9,-0.67
"mu1[234]",-0.21,-0.21,0.05,-0.3,-0.12
"mu1[235]",0.16,0.16,0.07,0.02,0.3
"mu1[236]",0.42,0.42,0.04,0.33,0.5
"mu1[237]",-1.06,-1.06,0.07,-1.2,-0.92
"mu1[238]",-1.03,-1.03,0.07,-1.17,-0.9
"mu1[239]",0.37,0.37,0.07,0.23,0.51
"mu1[240]",-0.47,-0.47,0.06,-0.59,-0.34
"mu1[241]",-0.14,-0.14,0.05,-0.25,-0.04
"mu1[242]",0.61,0.61,0.07,0.48,0.74
"mu1[243]",0.12,0.12,0.05,0.01,0.22
"mu1[244]",0.62,0.62,0.05,0.52,0.71
"mu1[245]",0.25,0.25,0.05,0.17,0.34
"mu1[246]",0.21,0.22,0.04,0.14,0.29
"mu1[247]",-0.15,-0.15,0.07,-0.29,0
"mu1[248]",0.15,0.15,0.08,-0.02,0.31
"mu1[249]",0.76,0.76,0.07,0.63,0.9
"mu1[250]",0.33,0.33,0.07,0.19,0.47
"mu1[251]",-0.03,-0.03,0.06,-0.15,0.1
"mu1[252]",-0.37,-0.36,0.09,-0.54,-0.18
"mu1[253]",0.15,0.15,0.08,0,0.31
"mu1[254]",0.11,0.11,0.09,-0.06,0.28
"mu1[255]",-0.16,-0.16,0.08,-0.32,0.01
"mu1[256]",-0.03,-0.03,0.06,-0.14,0.08
"mu1[257]",-0.62,-0.61,0.07,-0.75,-0.48
