"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"eta1[431]",-1.36,-1.29,1.09,-3.69,0.69
"eta1[432]",4.46,4.37,1.35,1.93,7.32
"eta1[433]",-2.53,-2.47,0.72,-4.07,-1.26
"eta1[434]",0.03,0.04,0.94,-1.88,1.85
"eta1[435]",-1.08,-1.07,0.68,-2.44,0.23
"eta1[436]",-0.24,-0.22,0.57,-1.45,0.82
"eta1[437]",-0.91,-0.89,0.22,-1.38,-0.51
"eta1[438]",-1.49,-1.5,0.91,-3.23,0.38
"eta1[439]",0.5,0.46,0.81,-0.91,2.2
"eta1[440]",1.96,1.96,1.07,-0.06,4.09
"eta1[441]",-0.71,-0.71,0.35,-1.38,-0.01
"eta1[442]",-1.87,-1.85,0.88,-3.69,-0.15
"eta1[443]",-0.74,-0.73,0.99,-2.63,1.22
"eta1[444]",-1.02,-1,0.42,-1.93,-0.23
"eta1[445]",-2.09,-2.07,0.68,-3.54,-0.79
"eta1[446]",1.58,1.56,0.85,0.01,3.28
"eta1[447]",-4.3,-4.23,1,-6.45,-2.51
"eta1[448]",-1.18,-1.17,0.4,-1.99,-0.41
"eta1[449]",-3.05,-3,0.62,-4.37,-1.94
"eta1[450]",-1.02,-1.05,0.37,-1.68,-0.22
"eta1[451]",-1.83,-1.81,0.92,-3.71,-0.04
"eta1[452]",-2.61,-2.58,1.01,-4.69,-0.64
"eta1[453]",1.64,1.63,0.82,0.07,3.28
"eta1[454]",-2.35,-2.33,0.84,-4.02,-0.71
"eta1[455]",-1.76,-1.75,0.29,-2.39,-1.23
"eta1[456]",-0.68,-0.68,0.18,-1.03,-0.33
"eta1[457]",-0.01,-0.03,0.67,-1.26,1.43
"eta1[458]",-1,-0.98,1.38,-3.74,1.73
"eta1[459]",-3.3,-3.29,0.34,-4,-2.67
"eta1[460]",-3.71,-3.67,0.62,-5.01,-2.61
"eta1[461]",-1.82,-1.81,0.51,-2.83,-0.81
"eta1[462]",-0.49,-0.5,0.31,-1.09,0.17
"eta1[463]",-0.84,-0.84,0.11,-1.05,-0.63
"eta1[464]",0.85,0.83,0.37,0.2,1.64
"eta1[465]",-1.8,-1.79,0.79,-3.35,-0.32
"eta1[466]",-0.55,-0.55,0.23,-1.04,-0.13
"eta1[467]",-1.83,-1.84,0.68,-3.18,-0.51
